abad_L_Joint                   | DriveAPI: stiffness=0.0, damping=0.0, max_force=80.0         | limits=[-21.999858856201172, 79.99980163574219]
hip_L_Joint                    | DriveAPI: stiffness=0.0, damping=0.0, max_force=80.0         | limits=[-57.999996185302734, 79.99996948242188]
knee_L_Joint                   | DriveAPI: stiffness=0.0, damping=0.0, max_force=80.0         | limits=[-50.00001907348633, 78.00000762939453]
ankle_L_Joint                  | DriveAPI: stiffness=0.0, damping=0.0, max_force=20.0         | limits=[-66.0, 90.0]
abad_R_Joint                   | DriveAPI: stiffness=0.0, damping=0.0, max_force=80.0         | limits=[-79.99980163574219, 21.999858856201172]
hip_R_Joint                    | DriveAPI: stiffness=0.0, damping=0.0, max_force=80.0         | limits=[-79.99996948242188, 57.999996185302734]
knee_R_Joint                   | DriveAPI: stiffness=0.0, damping=0.0, max_force=80.0         | limits=[-78.00000762939453, 50.00001907348633]
ankle_R_Joint                  | DriveAPI: stiffness=0.0, damping=0.0, max_force=20.0         | limits=[-66.0, 90.0]
flywheel_L_Joint               | NO DriveAPI                                                  | limits=[-inf, inf]
flywheel_R_Joint               | NO DriveAPI                                                  | limits=[-inf, inf]
